Clave,Entidad,Valor
1,Aguascalientes,"289,575"
2,Baja California,"858,676"
3,Baja California Sur,"175,046"
4,Campeche,"211,632"
5,Coahuila De Zaragoza,"715,158"
6,Colima,"177,848"
7,Chiapas,"1,072,560"
8,Chihuahua,"934,471"
9,Ciudad De México,"2,388,534"
10,Durango,"398,471"
11,Guanajuato,"1,266,772"
12,Guerrero,"805,230"
13,Hidalgo,"662,651"
14,Jalisco,"1,802,424"
15,México,"3,689,053"
16,Michoacán De Ocampo,"1,066,630"
17,Morelos,"460,868"
18,Nayarit,"288,680"
19,Nuevo León,"1,191,114"
20,Oaxaca,"910,647"
21,Puebla,"1,373,772"
22,Querétaro,"450,104"
23,Quintana Roo,"363,066"
24,San Luis Potosí,"631,587"
25,Sinaloa,"709,960"
26,Sonora,"705,668"
27,Tabasco,"559,114"
28,Tamaulipas,"868,244"
29,Tlaxcala,"272,507"
30,Veracruz De Ignacio De La Llave,"1,983,543"
31,Yucatán,"503,106"
32,Zacatecas,"372,662"
